Offspring,OM,IVD,CP,LDM,RC,PLB
353,89.921502,59.739852,13.051765,198.767544,1.968413,76.286357
354,90.828049,59.274612,12.211113,205.407024,2.115777,74.348454
355,89.656814,59.961857,11.973239,211.073909,2.59699,72.751698
356,90.75973,60.621075,12.832199,211.176511,1.862765,70.517774
357,90.159126,61.30075,12.872888,205.388217,2.2602,71.968604
358,91.004475,59.704299,13.032151,206.784016,1.428383,76.063829
359,91.306093,60.531566,12.865043,202.869587,2.088504,73.56895
361,90.711755,58.806101,12.331918,213.729564,2.469175,78.953226
362,89.982607,60.269735,12.382023,206.254359,2.031466,73.485574
363,91.256098,60.390703,12.475474,213.146813,2.13397,77.239085
365,90.21051,59.493647,12.391067,195.479623,1.645164,75.826805
366,90.25001,60.089597,12.507937,208.830429,1.926586,72.591148
368,90.437557,61.743115,12.573794,203.540017,1.488832,73.824453
369,90.883251,59.136442,12.716608,213.691879,1.441688,68.052636
370,90.668912,60.353407,13.62253,208.816161,2.808366,76.185175
371,90.215421,59.94074,12.413716,215.325816,2.428385,75.646183
372,90.727708,59.339438,11.921213,214.883353,2.163053,84.351336
373,91.565938,58.031301,11.912034,207.10281,1.850308,76.96511
374,90.869022,59.978987,13.491317,203.846185,1.958225,73.415964
375,91.165628,60.111655,12.9866,204.703069,1.220392,76.595224
376,90.647342,58.956754,12.89081,205.930885,1.490363,73.438952
377,91.489098,59.899705,12.40622,206.420918,1.570639,77.526369
378,90.858655,59.442738,11.946849,208.663723,2.097242,75.468578
379,91.004006,61.150496,13.337865,218.9014,1.731071,77.705993
381,90.24743,58.682939,12.766097,201.989832,2.077418,70.782635
382,90.038191,60.311329,12.858225,202.843164,1.869486,76.845988
383,90.933122,60.698269,12.812537,212.221262,1.615374,74.863483
384,90.190566,59.659615,12.835816,205.769294,2.122546,78.868353
385,91.592911,61.740695,12.501587,201.291007,1.778859,74.198433
386,91.151125,60.176594,13.058402,209.672663,1.527042,73.78534
387,90.370996,58.995596,12.704232,210.48776,2.061024,75.560576
388,90.797326,60.186438,13.298486,216.93755,1.400188,75.383674
389,90.922463,61.061048,12.507891,204.642834,1.595652,75.67653
390,90.09098,61.370262,12.513261,220.329987,2.411173,73.130165
391,90.698514,60.141564,12.496371,222.114185,1.885213,71.326957
392,91.002848,59.79714,12.929704,216.1653,2.13694,77.547897
393,91.388813,60.836146,12.50661,213.823204,1.936604,78.313549
394,90.981467,59.167847,12.651694,212.675906,1.924242,76.817724
396,90.672479,59.49354,12.625137,210.450986,1.905277,77.90672
397,91.014798,60.088292,12.192225,220.425455,2.259159,76.490648
398,90.789787,59.980833,12.632313,202.904666,2.522722,74.472484
399,91.633985,60.842898,12.86385,207.551248,0.85527,69.77247
400,90.99021,59.399228,12.743787,202.299897,1.679684,75.137448
401,90.472116,60.516452,12.866441,217.450196,1.423387,68.037221
402,90.606404,59.417974,12.12389,209.315778,2.765267,76.795931
404,90.942764,59.902483,11.910567,207.900648,1.621962,76.973913
