Order	Mother	Offspring	OM	CP	IVD	LDM	RC	PLB
444	16	480	90.7294	12.2502	58.4922	171.9501	2.2143	75.8101
445	11	481	90.6612	12.1206	59.5312	259.2486	1.6132	69.773
446	11	482	90.9871	12.4147	60.2082	159.7935	1.7493	73.7941
447	11	483	90.3501	13.4474	60.9835	197.5614	1.917	75.8325
448	11	484	91.7715	12.3902	60.0373	152.4842	1.3767	76.6804
449	11	485	90.4319	12.8788	61.3904	236.0709	2.515	75.6388
450	12	486	90.5725	12.6084	58.8834	207.4942	1.8362	73.4078
451	12	487	91.0971	12.1573	58.1612	160.1628	1.2959	74.3787
452	12	488	90.6577	12.307	60.4804	257.0173	2.3611	76.7171
453	12	489	91.1767	11.6899	58.6363	235.7736	2.1225	74.722
454	12	490	90.9334	13.223	62.2925	119.9281	1.5111	74.0615
455	4	491	90.4783	12.3136	60.6264	186.5642	1.925	72.4461
456	4	492	90.7589	12.0589	58.6205	215.8771	1.8426	71.7148
457	4	494	90.9587	11.7496	60.1084	258.7557	2.3936	74.1939
458	4	495	91.7814	12.4373	60.3016	182.997	1.5831	73.1127
459	8	496	90.7145	12.7687	60.5945	182.1009	2.1119	72.4253
460	8	497	90.8801	12.5939	59.9624	327.8565	2.2351	76.2497
461	8	498	89.9093	13.1585	58.8788	169.261	1.8262	71.9746
462	8	499	91.314	11.8918	58.8593	157.4802	1.6073	70.8202
463	8	500	91.2863	12.8579	61.2523	240.2598	2.2203	78.4027
464	13	501	90.4732	12.7496	61.2835	183.7552	1.6796	76.5838
465	13	502	90.6634	13.0464	61.5301	106.9951	1.4098	72.4678
466	13	503	91.112	12.4105	59.2367	171.4711	1.4225	71.3473
467	13	504	91.4238	11.7902	60.2061	141.0537	1.859	77.9343
468	13	505	90.0753	12.7725	59.856	264.7197	2.164	76.354
469	17	506	90.9862	12.1507	60.633	172.7367	1.7064	71.8228
470	17	507	91.273	12.0636	58.1426	353.4688	2.7201	77.429
471	17	508	90.341	12.972	59.541	228.6611	1.7606	73.3696
472	17	509	91.7637	12.6183	60.0698	130.5502	1.0826	75.0692
473	17	510	90.9046	13.4498	62.5249	121.2998	1.0985	72.8726
474	10	511	90.6898	12.4886	60.3835	229.171	1.7793	74.585
475	10	512	90.9147	12.3692	59.1901	202.6778	2.0937	72.2679
476	10	513	90.3391	13.6512	61.6285	82.4218	0.9321	74.6538
477	10	514	90.6407	12.9187	60.6155	241.1084	2.3327	78.1624
478	10	515	89.8216	12.5797	61.1646	214.9442	2.4743	77.9915
479	7	516	91.2042	12.001	58.9984	264.9779	2.4527	75.7888
480	7	517	90.6245	12.3418	60.1935	247.0207	2.4492	75.0798
481	7	518	89.903	13.4671	60.543	192.311	2.1195	74.4956
482	7	519	89.8042	12.8569	59.6081	185.9587	1.6768	71.434
483	7	520	89.8295	12.6407	59.8445	174.692	2.024	74.389
484	19	521	90.332	12.8063	59.6945	302.4475	2.3865	73.9554
485	19	522	90.5663	12.2823	60.51	186.4625	1.4988	71.0996
486	19	523	90.3471	12.125	60.9701	302.3101	2.8558	75.8465
487	19	524	90.6435	12.0571	57.5634	237.4412	1.956	78.2575
488	19	525	90.6997	12.9996	62.1029	181.2051	1.737	71.6247
489	2	526	90.3689	13.5698	61.3169	155.1389	1.6454	72.9371
490	2	527	90.1661	13.3252	63.828	101.0552	0.8306	73.4599
491	2	528	90.2679	12.6055	59.9831	286.6678	2.2899	75.6084
492	2	529	90.4909	11.8421	58.3086	192.4547	1.7731	70.1176
493	2	530	90.324	13.0569	58.93	173.2319	1.7586	74.0597
494	18	531	91.2051	13.1766	61.9563	342.617	2.5415	76.0911
495	18	532	90.2752	12.3384	58.3638	138.6407	1.7535	73.5931
496	18	533	90.498	12.9187	60.0455	179.2425	2.1727	73.3013
497	18	534	90.5711	13.5006	60.8173	294.5547	2.6168	74.483
498	18	535	90.5506	12.5664	58.6926	194.2925	1.9391	75.251
499	14	536	90.3654	13.722	62.0754	170.1789	2.2908	76.6064
500	14	537	90.6496	12.9833	59.7146	249.8599	1.6031	72.7278
501	14	538	90.7342	12.7715	59.5492	303.9901	2.8252	76.9387
502	14	539	90.2377	12.6976	59.5088	203.6604	2.2281	75.6834
503	14	540	90.7892	11.6769	59.1797	260.9604	1.6946	77.0541
504	5	541	90.6329	12.5705	61.4594	268.5881	2.3448	76.4499
505	5	542	90.999	12.8154	60.063	367.386	3.036	79.8011
506	5	544	90.5873	12.8608	59.9168	299.7274	2.1777	73.5539
507	5	545	91.4512	12.4513	61.2247	264.1815	2.354	75.4596
508	9	546	91.0091	12.4072	60.1047	361.6957	2.2896	77.0537
509	9	547	90.5444	12.5448	60.2631	187.108	1.5431	71.4524
510	9	548	90.5512	12.702	60.0419	319.9338	1.5818	73.9771
511	9	549	91.0552	13.845	62.569	219.7556	1.9692	73.7891
512	9	550	91.4615	12.4512	59.7739	270.4081	1.5899	75.3753
513	1	551	90.6108	12.9558	61.3445	158.5455	1.8915	76.2214
514	1	552	90.7465	12.755	60.9148	208.045	2.2762	72.9002
515	1	553	91.2418	13.5344	61.1631	161.6427	1.4204	75.9143
516	1	554	90.8961	12.2049	59.0901	208.6789	2.407	76.0666
517	1	555	91.2508	13.1238	61.4616	124.6556	1.7444	76.4183
518	3	556	90.4249	12.2097	61.1424	301.6126	2.4328	71.8924
519	3	557	90.4932	12.5168	60.6092	236.6223	2.2928	74.6595
520	3	558	90.6649	12.6584	59.1032	343.3931	2.358	75.357
521	3	560	90.6136	12.79	58.5331	352.8196	1.5974	73.9818
522	15	561	90.0502	12.5045	60.2447	195.7852	2.2232	78.2058
523	15	562	91.3496	12.793	59.9834	189.6175	2.1634	75.2126
524	15	563	90.8784	12.8461	60.031	336.6743	2.0918	71.2363
525	15	565	90.6208	12.1064	60.8204	416.9828	3.0581	76.2745
526	6	566	90.6018	12.4226	60.3217	311.9536	2.7732	75.2332
527	6	567	90.5314	12.5778	60.957	385.3363	2.7914	73.3537
528	6	568	90.8357	12.5422	60.1285	342.3528	2.2694	75.0797
529	6	569	91.06	12.361	59.2677	288.5297	2.219	74.4957
530	6	570	91.0121	12.5303	60.7475	282.6865	2.019	76.1693
